Wall time,Step,Value
1599327305,265,0.033356007
1599327311,266,0.034418527
1599327317,267,0.035382964
1599327323,268,0.035285097
1599327329,269,0.035066836
1599327334,270,0.034250885
1599327342,271,0.033456359
1599327347,272,0.033074591
1599327353,273,0.034345143
1599327359,274,0.033598892
1599327365,275,0.033530317
1599327370,276,0.032941353
1599327376,277,0.033512451
1599327382,278,0.034468498
1599327388,279,0.034445323
1599327394,280,0.033534061
1599327401,281,0.035782453
1599327406,282,0.033577118
1599327412,283,0.034515806
1599327418,284,0.036060512
1599327424,285,0.056244452
1599327430,286,0.036119409
1599327435,287,0.035601005
1599327441,288,0.036586624
1599327447,289,0.035283368
1599327453,290,0.034199558
1599327460,291,0.033609763
1599327465,292,0.033590138
1599327471,293,0.033021979
1599327477,294,0.034000289
1599327483,295,0.035098534
1599327488,296,0.033432335
1599327494,297,0.033304684
1599327500,298,0.032224763
1599327505,299,0.033572268
1599327511,300,0.033477608
1599327518,301,0.033420745
1599327524,302,0.033196367
1599327530,303,0.034783326
1599327535,304,0.032921672
1599327541,305,0.033378135
1599327547,306,0.032282982
1599327553,307,0.034505755
1599327558,308,0.033896595
1599327564,309,0.032412078
1599327570,310,0.031812873
1599327577,311,0.032674167
1599327583,312,0.031806167
1599327589,313,0.03261061
1599327594,314,0.032395024
1599327600,315,0.032406729
1599327606,316,0.032616187
1599327612,317,0.03603933
1599327617,318,0.03328323
1599327623,319,0.033452056
1599327629,320,0.032945581
1599327636,321,0.030982617
1599327642,322,0.032623447
1599327648,323,0.03243944
1599327653,324,0.032051504
1599327659,325,0.031620819
1599327665,326,0.033124555
1599327671,327,0.033421036
1599327677,328,0.031962525
1599327682,329,0.03402612
1599327688,330,0.031812537
1599327695,331,0.032776948
1599327701,332,0.033361435
1599327707,333,0.034896828
1599327712,334,0.033268411
1599327718,335,0.031473018
1599327724,336,0.032180052
1599327729,337,0.032171991
1599327735,338,0.033846106
1599327741,339,0.031697478
1599327747,340,0.031719826
1599327754,341,0.033655006
1599327759,342,0.031966694
1599327765,343,0.032582968
1599327771,344,0.031156564
1599327777,345,0.031099498
1599327782,346,0.030779494
1599327788,347,0.031749833
1599327794,348,0.033553958
1599327799,349,0.032745164
1599327805,350,0.031302992
1599327812,351,0.031868748
1599327818,352,0.032323956
1599327824,353,0.03271994
